,0
91,<start> A cyclist is riding down a steep trail. <end>
92,<start> Experience the thrill of extreme downhill mountain biking! <end>
93,"<start> On a grassy mountainside, an adventurous biker is racing down the slope with remarkable speed. <end>"
94,<start> Riding down a grassy hill is a man wearing a full face mask <end>
95,"<start> While a boy with a Mohawk holds a mirror, a woman puts on face paint. <end>"
96,<start> A child with a Mohawk holds a mirror as a woman paints her face. <end>
97,<start> An individual applying cosmetics onto their face. <end>
98,"<start> While a boy with a Mohawk holds her mirror, a woman applies makeup to her face. <end>"
99,<start> A young kid sporting a Mohawk hairstyle is helping a woman with her makeup by holding a mirror in front of her. <end>
100,"<start>Through the fence, a dog with a dark coat is gazing. <end>"
101,"<start> Along a fence, a dog with brown fur is running. <end>"
102,"<start> Outside, there's a fence and a dark brown dog is bounding alongside it. <end>"
103,"<start> In the grass, a fence is trailed by a large black dog in swift motion. <end>"
104,"<start> A sleek brown-greyhound strides across the lush green turf, casting a curious gaze through a nearby fence. <end>"
105,<start> The camera focuses on a woman with fiery short red hair. <end>
106,<start> Neon red hair and eyebrows adorned the girl's features. <end>
107,<start> A young female with vibrant red locks and matching eyebrows is caught mid-sentence. <end>
108,"<start> Outside, a lady with fiery red hair and matching brows engages in conversation with another person. <end>"
109,"<start> With her fiery red hair and bold eyebrows, the girl sports several stylish piercings in her ear and a tattoo adorning her back. <end>"
110,"<start> On a bench, someone is sitting while holding a picture of a face in front of their own. <end>"
111,"<start> On the bench, an individual is seated, grasping a photograph and placing it before their visage. <end>"
112,"<start>On a wooden bench, a person holds up a picture of a face to their own face. <end>"
113,"<start> To avoid being photographed, the individual shields their face with a newspaper. <end>"
114,"<start> In front of their face, the individual is clasping a photo. <end>"
115,"<start> While the priest reads his book, a couple cradles their newborn during a ceremony. <end>"
116,<start> A family is gathered as their children are getting baptized by a priest. <end>
117,"<start> The sight of a priest with a book in hand, casting his gaze upon a mother and her little one. <end>"
118," <start> A man gazes at a baby cradled by a woman, as another man holding a child observes. <end>"
119,A female individual cradling an infant while standing alongside a clergyman.
120,"<start> Walking down the street is a woman with luscious black hair, dressed in a crisp white skirt and complemented with sleek black boots. She's effortlessly carrying a striking red bag that adds a perfect pop of color to her ensemble. <end>"
121,"<start> On the sidewalk, there walks a petite girl donning a white skirt, sleek black boots, and a stylish jacket in a beautiful gray-green hue, while she holds a striking red bag. <end>"
122,"<start> With her back turned to us, a woman strides confidently along the sidewalk dressed in her finest attire. <end>"
123,<start> A lady wearing a skirt and boots with a vibrant red bag strolling down the pavement. <end>
124,"<start> An individual sporting a white skirt with a limited length coupled with black boots is walking away in style, holding a red bag. <end>"
125,<start>There's a black pooch darting through a field of emerald grass. <end>
126,<start> A dog with black fur sprinting through the green blades of grass. <end>
127,"<start> With its tongue wagging, a black canine dashes through the grass. <end>"
128,<start> A dark-colored canine sprints through a verdant meadow <end>
129,"In the grass, a tiny pup scampers, its coat a deep shade of black."
130,"<start> Surrounded by a crowd of people, a young boy kicks a massive baseball, donning a red and white shirt. <end>"
131,"<start> While a group of children looks on, a boy kicks a massive baseball. <end>"
132,<start> The large baseball gets kicked by a boy with great force <end>
133,<start> There is a group of kids around one child who is vigorously kicking a massive ball. <end>
134,<start> An oversized baseball is being played with by some children outside. <end>
135,"<start>With a blue ball in sight, a brown dog takes a leap into the refreshing waters of a pool. <end>"
136,"<start> Above the swimming pool, there is a flying dog. <end>"
137,<start> A canine effortlessly leaps into an outdoor swimming pool. <end>
138,<start> An outdoor pool is being splashed by a dog with a tan coat. <end>
139,<start> The inground pool glistens as a tan dog springs into its cool waters. <end>
140,<start> In the canine's jaws lies a black dumbbell. <end>
141,<start> The person in blue catches the eye of a black dog holding a dumbbell in its mouth. <end>
142,<start> A person is accompanied by a black dog carrying a weight in its mouth. <end>
143,"<start> In the canine's jaws is a white, little dumbbell while its fur is as dark as night. <end>"
144,"<start> Standing near a person, the black dog clasps a toy in its mouth. <end>"
145,<start> A bigger dog is playing with a brown dog that sports a pink collar adorned with a heart. <end>
146,<start> The large canine attempts to sink its teeth into the smaller canine <end>
147,<start> The big and small dog both have their mouths agape. <end>
148,<start> A pair of brown dogs engaged in a fierce battle with each other. <end>
149,"<start> A pair of dogs, both adorned with collars, frolic around together in the luscious green grass. <end>"
150,<start> A duo of men wearing magenta outfits putting on a performance. <end>
151,<start> A pair of crimson-clad dudes engage in combat. <end>
152,<start> A pair of gentlemen donning crimson robes exhibit their skills in martial arts. <end>
153,<start> A duo clad in shades of pink. <end>
154,<start> A pair of individuals dressed in vibrant red traditional Chinese attire display an impressive performance using sticks. <end>
155,"<start> With a red ball in hand, a man rolls down the lane in a game of bowling. <end>"
156,"<start> With a red bowling ball, the man bowls. <end>"
157,"<start> In a bowling alley, a person is preparing to release a bowling ball down the lane. <end>"
158,<start> A youth poised to hurl a scarlet bowling ball down the alley <end>
159,<start> A male individual is bowling in a bowling alley with dim lighting. <end>
160,<start> There are two individuals frolicking on the sandy shore. <end>
161,<start> A racquet game is being played by two women on the beach. <end>
162,"<start> On the sandy shore, two ladies in swimsuits frolic and have fun. <end>"
163,<start> A duo of ladies clad in bikinis frolic on the sandy shores of the beach. <end>
164,<start>There are a pair of ladies at the beach. <end>
